Size of Dataset, 2000
Epsilon, 0.25
MinPoints, 5
InfoGain, 1.0
Number of Clusters, 44
Distance Metric, Euclidean
Precision, 0.0
Recall, 0.0
Accuracy, 0.803
F-1, 0.0
Parent Entropy, 0.7158873656827773
Weighted Entropy, 0.0
Elapsed Time, 1
List of Clusters, Entropy, Average Core Distance, Size of Cluster, Buzz, NonBuzz
0, 0.0, 1.2380582371144074E-7, 39, 0.0, 39.0
1, 0.0, 1.4814814814814817E-7, 27, 0.0, 27.0
2, 0.0, 1.694915254237288E-8, 118, 0.0, 118.0
3, 0.0, 2.361072100072024E-6, 14, 0.0, 14.0
4, 0.0, 5.172413793103449E-8, 58, 0.0, 58.0
5, 0.0, 1.1008453526515796E-5, 5, 0.0, 5.0
6, 0.0, 6.249999999999998E-8, 48, 0.0, 48.0
7, 0.0, 1.0973698010786796E-7, 22, 0.0, 22.0
8, 0.0, 1.059173366053299E-6, 7, 0.0, 7.0
9, 0.0, 0.0, 138, 0.0, 138.0
10, 0.0, 1.7436943828691078E-6, 22, 0.0, 22.0
11, 0.0, 3.4482758620689644E-8, 29, 0.0, 29.0
12, 0.0, 1.2856486930664497E-7, 11, 0.0, 11.0
13, 0.0, 2.3255106965997813E-5, 5, 0.0, 5.0
14, 0.0, 5.88235294117647E-8, 17, 0.0, 17.0
15, 0.0, 5.756939094329987E-7, 8, 0.0, 8.0
16, 0.0, 5.7666395731221585E-6, 7, 0.0, 7.0
17, 0.0, 9.120278568276259E-6, 7, 0.0, 7.0
18, 0.0, 2.6172424365104618E-6, 9, 0.0, 9.0
19, 0.0, 1.2472135954999582E-6, 10, 0.0, 10.0
20, 0.0, 0.0, 2, 0.0, 2.0
21, 0.0, 4.489434167906046E-6, 7, 0.0, 7.0
22, 0.0, 3.3333333333333325E-7, 3, 0.0, 3.0
23, 0.0, 7.075998185207293E-7, 22, 0.0, 22.0
24, 0.0, 0.0, 6, 0.0, 6.0
25, 0.0, 3.1925824035672516E-6, 2, 0.0, 2.0
26, 0.0, 1.4285714285714282E-7, 7, 0.0, 7.0
27, 0.0, 4.472135954999579E-6, 5, 0.0, 5.0
28, 0.0, 0.011786779692335027, 6, 0.0, 6.0
29, 0.0, 1.4285714285714285E-7, 7, 0.0, 7.0
30, 0.0, 1.6910589071449367E-5, 5, 0.0, 5.0
31, 0.0, 3.7652100469956667E-6, 3, 0.0, 3.0
32, 0.0, 1.7449440507191903E-5, 5, 0.0, 5.0
33, 0.0, 0.0, 1, 0.0, 1.0
34, 0.0, 1.7E-5, 1, 0.0, 1.0
35, 0.0, 8.54400374531753E-6, 2, 0.0, 2.0
36, 0.0, 2.920809626481889E-6, 2, 0.0, 2.0
37, 0.0, 1.4120226591665967E-6, 3, 0.0, 3.0
38, 0.0, 0.0, 1, 0.0, 1.0
39, 0.0, 1.2083045973594571E-5, 1, 0.0, 1.0
40, 0.0, 1.565247584249853E-5, 1, 0.0, 1.0
41, 0.0, 9.999999999999997E-7, 1, 0.0, 1.0
42, 0.0, 9.999999999999997E-7, 1, 0.0, 1.0
43, 0.0, 4.47213595499958E-6, 1, 0.0, 1.0
