Size of Dataset, 8000
Epsilon, 1.0
MinPoints, 5
InfoGain, 0.9987380575446448
Number of Clusters, 131
Distance Metric, Manhattan
Precision, 0.0
Recall, 0.0
Accuracy, 0.797
F-1, 0.0
Parent Entropy, 0.7158873656827773
Weighted Entropy, 0.001261942455355195
Elapsed Time, 29
List of Clusters, Entropy, Average Core Distance, Size of Cluster, Buzz, NonBuzz
0, 0.025050966855686252, 0.048800756823821304, 403, 1.0, 402.0
1, 0.0, 0.0566251793103448, 290, 0.0, 290.0
2, 0.0, 0.13361745714285714, 35, 0.0, 35.0
3, 0.0, 0.08809535882352942, 170, 0.0, 170.0
4, 0.0, 0.13171777695167278, 269, 0.0, 269.0
5, 0.0, 0.0035987692307692318, 741, 0.0, 741.0
6, 0.0, 0.20761620408163273, 98, 0.0, 98.0
7, 0.0, 5.787222222222222E-4, 288, 0.0, 288.0
8, 0.0, 0.0, 552, 0.0, 552.0
9, 0.0, 0.29126882989690717, 194, 0.0, 194.0
10, 0.0, 0.001634029411764706, 102, 0.0, 102.0
11, 0.0, 0.02632022105263157, 95, 0.0, 95.0
12, 0.0, 0.10417943750000001, 48, 0.0, 48.0
13, 0.0, 0.1171500724637681, 138, 0.0, 138.0
14, 0.0, 0.09044550000000003, 10, 0.0, 10.0
15, 0.0, 7.450980392156861E-7, 102, 0.0, 102.0
16, 0.0, 0.021604510638297873, 47, 0.0, 47.0
17, 0.0, 0.007872875000000017, 8, 0.0, 8.0
18, 0.0, 4.838709677419353E-7, 31, 0.0, 31.0
19, 0.0, 2.0666666666666663E-5, 9, 0.0, 9.0
20, 0.0, 4.3999999999999997E-7, 25, 0.0, 25.0
21, 0.0, 0.09708908000000001, 25, 0.0, 25.0
22, 0.0, 1.0, 1, 0.0, 1.0
23, 0.0, 5.263157894736841E-8, 19, 0.0, 19.0
24, 0.0, 2.5806451612903223E-7, 31, 0.0, 31.0
25, 0.0, 4.2857142857142855E-6, 7, 0.0, 7.0
26, 0.0, 0.0, 29, 0.0, 29.0
27, 0.0, 0.0, 10, 0.0, 10.0
28, 0.0, 0.0, 10, 0.0, 10.0
29, 0.0, 0.08158242105263158, 38, 0.0, 38.0
30, 0.0, 0.30417891666666674, 24, 0.0, 24.0
31, 0.0, 0.0503006923076923, 26, 0.0, 26.0
32, 0.0, 0.2592567407407406, 54, 0.0, 54.0
33, 0.0, 0.10870304347826087, 46, 0.0, 46.0
34, 0.0, 0.05555818518518517, 54, 0.0, 54.0
35, 0.0, 3.3200000000000004E-6, 25, 0.0, 25.0
36, 0.0, 0.10888726315789472, 19, 0.0, 19.0
37, 0.0, 1.0, 3, 0.0, 3.0
