Reachability, All
3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 1.9999999999999995E-6, 1.9999999999999995E-6, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 9.999999999999997E-7, 9.999999999999997E-7, 9.999999999999997E-7, 9.999999999999997E-7, 9.999999999999997E-7, 9.999999999999997E-7, 3.0000000000000005E-6, 4.000000000000001E-6, 4.000000000000001E-6, 4.9999999999999996E-6, 4.9999999999999996E-6, 4.9999999999999996E-6, 4.9999999999999996E-6, 4.9999999999999996E-6, 4.9999999999999996E-6, 4.9999999999999996E-6, 4.9999999999999996E-6, 4.9999999999999996E-6, 4.9999999999999996E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 0.0, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 0.0, 2.0000000000000003E-6, 1.0000000000000006E-6, 1.0000000000000006E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 1.0, 3.0E-6, 1.0, 3.0E-6, 1.0, 3.0E-6, 1.0, 3.0E-6, 1.0, 3.0E-6, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0000000000000003E-6, 1.0000000000000002E-6, 2.0E-6, 2.0E-6, 4.9999999999999996E-6, 0.10000300000000009, 2.0000000000000003E-6, 1.0, 2.0000000000000003E-6, 1.0, 2.0000000000000003E-6, 1.0, 1.0, 2.0000000000000003E-6, 1.0, 2.0000000000000003E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0E-6, 1.0E-6, 1.0E-6, 1.0E-6, 1.0E-6, 1.0E-6, 1.0E-6, 1.0E-6, 1.9999999999999995E-6, 1.9999999999999995E-6, 1.9999999999999995E-6, 1.9999999999999995E-6, 1.9999999999999995E-6, 1.9999999999999995E-6, 1.9999999999999995E-6, 1.9999999999999995E-6, 1.9999999999999995E-6, 0.33333599999999997, 0.33333599999999997, 0.33333599999999997, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 9.999999999999997E-7, 9.999999999999997E-7, 9.999999999999997E-7, 9.999999999999997E-7, 9.999999999999997E-7, 4.0E-6, 0.0, 4.9999999999999996E-6, 1.3999999999999998E-5, 1.3999999999999998E-5, 1.0, 1.7E-5, 1.7E-5, 1.7E-5, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.4E-5, 1.4E-5, 1.4E-5, 1.4E-5, 1.4E-5, 1.4E-5, 1.4E-5, 1.4E-5, 1.4E-5, 1.4E-5, 1.4E-5, 1.4E-5, 1.4E-5, 1.4E-5, 1.4E-5, 1.4E-5, 0.0, 1.1E-5, 1.0, 1.0, 1.0, 1.0, 8.000000000000001E-6, 1.3E-5, 1.3E-5, 0.0, 0.0, 9.999999999999997E-7, 1.6E-5, 4.9999999999999996E-6, 1.0, 1.0, 1.0, 1.0, 2.0000000000000008E-6, 4.000000000000001E-6, 1.0, 4.000000000000001E-6, 2.0000000000000008E-6, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0E-6, 0.0, 9.999999999999997E-7, 9.999999999999997E-7, 9.999999999999997E-7, 0.0, 9.999999999999997E-7, 0.0, 1.0E-6, 1.0E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 3.0000000000000005E-6, 1.0, 1.0, 9.999999999999997E-7, 9.999999999999997E-7, 9.999999999999997E-7, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 0.0, 0.0, 0.0, 0.0, 0.33333599999999997, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 2.1000000000000002E-5, 1.2E-5, 1.2E-5, 1.2E-5, 0.19999999999999996, 2.9999999999999992E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 1.0, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 0.0, 2.9999999999999997E-6, 1.0, 1.0, 0.0, 9.0E-6, 4.0E-6, 4.0E-6, 1.4E-5, 1.4E-5, 1.4E-5, 1.4E-5, 4.000000000000001E-6, 1.4E-5, 1.4E-5, 4.000000000000001E-6, 1.4E-5, 1.0, 1.0, 1.0, 6.0E-6, 1.0, 1.0, 6.000000000000001E-6, 1.0, 1.0, 9.999999999999999E-6, 9.999999999999999E-6, 2.4E-5, 2.4E-5, 1.0, 1.0, 7.0E-6, 7.0E-6, 1.0, 0.0, 7.0E-6, 1.0000000000000002E-6, 9.999999999999997E-7, 1.1E-5, 1.1E-5, 1.3000000000000001E-5, 1.3999999999999998E-5, 1.9999999999999995E-6, 1.0, 1.0, 0.0, 6.0E-6, 7.0E-6, 7.0E-6, 0.0, 0.0, 1.0E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 0.0, 0.0, 4.000000000000001E-6, 0.0, 0.0, 2.0E-6, 2.0E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 1.0, 1.0, 3.0E-6, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 4.000000000000001E-6, 4.000000000000001E-6, 2.9999999999999997E-6, 2.9999999999999997E-6, 2.9999999999999997E-6, 0.0, 0.0, 0.0, 3.0E-6, 0.0, 0.0, 0.0, 0.0, 1.0, 2.2999999999999997E-5, 2.2999999999999997E-5, 2.2999999999999997E-5, 2.2999999999999997E-5, 9.99999999999999E-7, 0.0, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 1.0, 0.0, 1.9E-5, 2.2999999999999997E-5, 2.3999999999999997E-5, 1.0, 3.6E-5, 0.0, 0.0, 0.0, 0.0, 1.0000000000000006E-6, 4.0E-6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4999999999999999E-5, 0.0, 
Reachability, Individual
3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 1.9999999999999995E-6, 1.9999999999999995E-6, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 9.999999999999997E-7, 9.999999999999997E-7, 9.999999999999997E-7, 9.999999999999997E-7, 9.999999999999997E-7, 9.999999999999997E-7, 3.0000000000000005E-6, 4.000000000000001E-6, 4.000000000000001E-6, 4.9999999999999996E-6, 4.9999999999999996E-6, 4.9999999999999996E-6, 4.9999999999999996E-6, 4.9999999999999996E-6, 4.9999999999999996E-6, 4.9999999999999996E-6, 4.9999999999999996E-6, 4.9999999999999996E-6, 4.9999999999999996E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 0.0, 2.0000000000000003E-6, 
2.0000000000000003E-6, 2.0000000000000003E-6, 0.0, 2.0000000000000003E-6, 1.0000000000000006E-6, 1.0000000000000006E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 1.0, 3.0E-6, 1.0, 3.0E-6, 1.0, 3.0E-6, 1.0, 3.0E-6, 1.0, 3.0E-6, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0000000000000003E-6, 1.0000000000000002E-6, 2.0E-6, 2.0E-6, 4.9999999999999996E-6, 0.10000300000000009, 2.0000000000000003E-6, 1.0, 2.0000000000000003E-6, 1.0, 2.0000000000000003E-6, 1.0, 1.0, 2.0000000000000003E-6, 1.0, 2.0000000000000003E-6, 
3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0E-6, 1.0E-6, 1.0E-6, 1.0E-6, 1.0E-6, 1.0E-6, 1.0E-6, 1.0E-6, 1.9999999999999995E-6, 1.9999999999999995E-6, 1.9999999999999995E-6, 1.9999999999999995E-6, 1.9999999999999995E-6, 1.9999999999999995E-6, 1.9999999999999995E-6, 1.9999999999999995E-6, 1.9999999999999995E-6, 0.33333599999999997, 0.33333599999999997, 0.33333599999999997, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 3.0E-6, 
1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 9.999999999999997E-7, 9.999999999999997E-7, 9.999999999999997E-7, 9.999999999999997E-7, 9.999999999999997E-7, 4.0E-6, 0.0, 4.9999999999999996E-6, 1.3999999999999998E-5, 1.3999999999999998E-5, 1.0, 1.7E-5, 1.7E-5, 1.7E-5, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 1.0000000000000002E-6, 
1.4E-5, 1.4E-5, 1.4E-5, 1.4E-5, 1.4E-5, 1.4E-5, 1.4E-5, 1.4E-5, 1.4E-5, 1.4E-5, 1.4E-5, 1.4E-5, 1.4E-5, 1.4E-5, 1.4E-5, 1.4E-5, 0.0, 1.1E-5, 1.0, 1.0, 1.0, 1.0, 8.000000000000001E-6, 1.3E-5, 1.3E-5, 0.0, 0.0, 9.999999999999997E-7, 1.6E-5, 4.9999999999999996E-6, 1.0, 1.0, 1.0, 1.0, 2.0000000000000008E-6, 4.000000000000001E-6, 1.0, 4.000000000000001E-6, 2.0000000000000008E-6, 1.0, 
1.0, 
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0E-6, 0.0, 9.999999999999997E-7, 9.999999999999997E-7, 9.999999999999997E-7, 0.0, 9.999999999999997E-7, 0.0, 1.0E-6, 1.0E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 2.0000000000000003E-6, 3.0000000000000005E-6, 1.0, 1.0, 9.999999999999997E-7, 9.999999999999997E-7, 9.999999999999997E-7, 1.0, 1.0, 1.0, 
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
