Size of Dataset, 2000
Epsilon, 1.0
MinPoints, 5
InfoGain, 1.0
Number of Clusters, 39
Distance Metric, Manhattan
Precision, 0.0
Recall, 0.0
Accuracy, 0.803
F-1, 0.0
Parent Entropy, 0.7158873656827773
Weighted Entropy, 0.0
Elapsed Time, 1
List of Clusters, Entropy, Average Core Distance, Size of Cluster, Buzz, NonBuzz
0, 0.0, 0.010309443298969073, 97, 0.0, 97.0
1, 0.0, 0.019643321428571427, 56, 0.0, 56.0
2, 0.0, 0.005618039325842697, 178, 0.0, 178.0
3, 0.0, 0.0333378, 30, 0.0, 30.0
4, 0.0, 0.07500482500000001, 40, 0.0, 40.0
5, 0.0, 1.0, 1, 0.0, 1.0
6, 0.0, 0.024390658536585355, 41, 0.0, 41.0
7, 0.0, 0.0, 138, 0.0, 138.0
8, 0.0, 0.005291063492063492, 63, 0.0, 63.0
9, 0.0, 0.16669266666666668, 6, 0.0, 6.0
10, 0.0, 0.0, 17, 0.0, 17.0
11, 0.0, 0.0588246470588235, 17, 0.0, 17.0
12, 0.0, 0.15000660000000002, 20, 0.0, 20.0
13, 0.0, 1.1833333333333334E-5, 6, 0.0, 6.0
14, 0.0, 1.0, 3, 0.0, 3.0
15, 0.0, 2.4999999999999998E-6, 4, 0.0, 4.0
16, 0.0, 0.11111122222222221, 9, 0.0, 9.0
17, 0.0, 3.3333333333333325E-7, 3, 0.0, 3.0
18, 0.0, 5.882352941176471E-7, 17, 0.0, 17.0
19, 0.0, 1.3333333333333338E-6, 6, 0.0, 6.0
20, 0.0, 0.0, 3, 0.0, 3.0
21, 0.0, 6.0E-6, 5, 0.0, 5.0
22, 0.0, 2.2799999999999995E-5, 5, 0.0, 5.0
23, 0.0, 2.0000000000000004E-7, 5, 0.0, 5.0
24, 0.0, 2.32E-5, 5, 0.0, 5.0
25, 0.0, 1.0, 1, 0.0, 1.0
26, 0.0, 0.0, 1, 0.0, 1.0
27, 0.0, 2.2999999999999997E-5, 1, 0.0, 1.0
28, 0.0, 4.9999999999999996E-6, 1, 0.0, 1.0
29, 0.0, 4.666666666666666E-6, 3, 0.0, 3.0
30, 0.0, 2.0000000000000003E-6, 1, 0.0, 1.0
31, 0.0, 1.0, 1, 0.0, 1.0
32, 0.0, 2.1000000000000002E-5, 1, 0.0, 1.0
33, 0.0, 1.1E-5, 1, 0.0, 1.0
34, 0.0, 9.999999999999997E-7, 1, 0.0, 1.0
35, 0.0, 1.0, 1, 0.0, 1.0
36, 0.0, 1.0, 1, 0.0, 1.0
37, 0.0, 7.499999999999999E-6, 2, 0.0, 2.0
38, 0.0, 2.9999999999999997E-6, 1, 0.0, 1.0
