Size of Dataset, 2000
Epsilon, 0.5
MinPoints, 10
InfoGain, 1.0
Number of Clusters, 25
Distance Metric, Euclidean
Precision, 0.0
Recall, 0.0
Accuracy, 0.803
F-1, 0.0
Parent Entropy, 0.7158873656827773
Weighted Entropy, 0.0
Elapsed Time, 1
List of Clusters, Entropy, Average Core Distance, Size of Cluster, Buzz, NonBuzz
0, 0.0, 4.616383823880042E-7, 39, 0.0, 39.0
1, 0.0, 2.962962962962964E-7, 27, 0.0, 27.0
2, 0.0, 0.0027778686886723927, 120, 0.0, 120.0
3, 0.0, 3.1283432692039354E-6, 14, 0.0, 14.0
4, 0.0, 1.7241379310344828E-7, 58, 0.0, 58.0
5, 0.0, 7.442271032917692E-7, 48, 0.0, 48.0
6, 0.0, 1.925485444318086E-7, 22, 0.0, 22.0
7, 0.0, 0.0, 138, 0.0, 138.0
8, 0.0, 3.727610525146385E-6, 22, 0.0, 22.0
9, 0.0, 0.011494344827586205, 29, 0.0, 29.0
10, 0.0, 1.1123698161363445E-6, 11, 0.0, 11.0
11, 0.0, 4.30856195313927E-7, 17, 0.0, 17.0
12, 0.0, 1.347256345754036E-6, 8, 0.0, 8.0
13, 0.0, 2.884414755367803E-6, 10, 0.0, 10.0
14, 0.0, 2.08113883008419E-6, 2, 0.0, 2.0
15, 0.0, 1.7207592200561263E-6, 3, 0.0, 3.0
16, 0.0, 2.037317987393849E-6, 22, 0.0, 22.0
17, 0.0, 5.000000000000003E-7, 6, 0.0, 6.0
18, 0.0, 3.44887651767585E-7, 7, 0.0, 7.0
19, 0.0, 1.4978973391769387E-6, 7, 0.0, 7.0
20, 0.0, 4.692039117354566E-6, 3, 0.0, 3.0
21, 0.0, 1.0000000000000006E-6, 1, 0.0, 1.0
22, 0.0, 2.5448045383893196E-6, 3, 0.0, 3.0
23, 0.0, 1.0E-6, 1, 0.0, 1.0
24, 0.0, 3.1622776601683796E-6, 1, 0.0, 1.0
