Size of Dataset, 4000
Epsilon, 0.5
MinPoints, 10
InfoGain, 1.0
Number of Clusters, 47
Distance Metric, Euclidean
Precision, 0.0
Recall, 0.0
Accuracy, 0.803
F-1, 0.0
Parent Entropy, 0.7158873656827773
Weighted Entropy, 0.0
Elapsed Time, 7
List of Clusters, Entropy, Average Core Distance, Size of Cluster, Buzz, NonBuzz
0, 0.0, 0.0038262334630350205, 257, 0.0, 257.0
1, 0.0, 0.0, 284, 0.0, 284.0
2, 0.0, 1.436428400560574E-7, 127, 0.0, 127.0
3, 0.0, 0.004629749999999999, 72, 0.0, 72.0
4, 0.0, 6.497241262864768E-6, 12, 0.0, 12.0
5, 0.0, 0.0016236728888003788, 66, 0.0, 66.0
6, 0.0, 0.0028302208906483424, 25, 0.0, 25.0
7, 0.0, 1.3283864872877805E-7, 94, 0.0, 94.0
8, 0.0, 0.014734995316896381, 16, 0.0, 16.0
9, 0.0, 3.9640739620651237E-7, 21, 0.0, 21.0
10, 0.0, 1.5909090909090907E-7, 44, 0.0, 44.0
11, 0.0, 0.016837610825851567, 24, 0.0, 24.0
12, 0.0, 1.09248032474965E-6, 43, 0.0, 43.0
13, 0.0, 8.238990314914837E-7, 15, 0.0, 15.0
14, 0.0, 3.283080604532272E-6, 7, 0.0, 7.0
15, 0.0, 2.372921431989001E-6, 11, 0.0, 11.0
16, 0.0, 0.009825338644446398, 18, 0.0, 18.0
17, 0.0, 3.523021732222938E-7, 21, 0.0, 21.0
18, 0.0, 0.0053170428213894895, 38, 0.0, 38.0
19, 0.0, 0.01282053846153846, 26, 0.0, 26.0
20, 0.0, 6.937129433613966E-7, 6, 0.0, 6.0
21, 0.0, 4.560113295832983E-7, 24, 0.0, 24.0
22, 0.0, 3.5300566479164917E-7, 12, 0.0, 12.0
23, 0.0, 3.333333333333333E-7, 3, 0.0, 3.0
24, 0.0, 0.005320923344114785, 14, 0.0, 14.0
25, 0.0, 2.0000000000000004E-7, 10, 0.0, 10.0
26, 0.0, 1.1438750338791803E-5, 2, 0.0, 2.0
27, 0.0, 2.8717082451262834E-6, 4, 0.0, 4.0
28, 0.0, 1.8333460273643623E-5, 10, 0.0, 10.0
29, 0.0, 1.347538956114785E-6, 16, 0.0, 16.0
30, 0.0, 1.1035533905932738E-6, 4, 0.0, 4.0
31, 0.0, 6.491557762615473E-6, 4, 0.0, 4.0
32, 0.0, 0.021902954825107998, 13, 0.0, 13.0
33, 0.0, 5.385164807134504E-6, 1, 0.0, 1.0
34, 0.0, 2.2360679774997895E-6, 2, 0.0, 2.0
35, 0.0, 3.1622776601683796E-6, 3, 0.0, 3.0
36, 0.0, 1.3090169943749473E-6, 4, 0.0, 4.0
37, 0.0, 1.969771560359221E-5, 2, 0.0, 2.0
38, 0.0, 1.988854381999832E-6, 5, 0.0, 5.0
39, 0.0, 1.7207592200561265E-6, 3, 0.0, 3.0
40, 0.0, 0.1178520730070647, 4, 0.0, 4.0
41, 0.0, 3.1622776601683805E-6, 1, 0.0, 1.0
42, 0.0, 5.830951894845301E-6, 1, 0.0, 1.0
43, 0.0, 2.0000000000000003E-6, 1, 0.0, 1.0
44, 0.0, 1.4142135623730952E-6, 2, 0.0, 2.0
45, 0.0, 3.60555127546399E-6, 1, 0.0, 1.0
46, 0.0, 1.0000000000000006E-6, 1, 0.0, 1.0
