Size of Dataset, 4000
Epsilon, 0.5
MinPoints, 10
InfoGain, 1.0
Number of Clusters, 46
Distance Metric, Manhattan
Precision, 0.0
Recall, 0.0
Accuracy, 0.803
F-1, 0.0
Parent Entropy, 0.7158873656827773
Weighted Entropy, 0.0
Elapsed Time, 5
List of Clusters, Entropy, Average Core Distance, Size of Cluster, Buzz, NonBuzz
0, 0.0, 0.0038262334630350205, 257, 0.0, 257.0
1, 0.0, 0.0, 284, 0.0, 284.0
2, 0.0, 1.5748031496062997E-7, 127, 0.0, 127.0
3, 0.0, 0.004629749999999999, 72, 0.0, 72.0
4, 0.0, 8.333333333333335E-6, 12, 0.0, 12.0
5, 0.0, 0.0020982727272727273, 66, 0.0, 66.0
6, 0.0, 0.004002120000000005, 25, 0.0, 25.0
7, 0.0, 1.595744680851064E-7, 94, 0.0, 94.0
8, 0.0, 0.020838562499999987, 16, 0.0, 16.0
9, 0.0, 4.7619047619047633E-7, 21, 0.0, 21.0
10, 0.0, 1.5909090909090907E-7, 44, 0.0, 44.0
11, 0.0, 2.260869565217389E-6, 23, 0.0, 23.0
12, 0.0, 1.4186046511627905E-6, 43, 0.0, 43.0
13, 0.0, 1.0666666666666667E-6, 15, 0.0, 15.0
14, 0.0, 4.42857142857143E-6, 7, 0.0, 7.0
15, 0.0, 3.181818181818181E-6, 11, 0.0, 11.0
16, 0.0, 0.013894888888888892, 18, 0.0, 18.0
17, 0.0, 4.2857142857142867E-7, 21, 0.0, 21.0
18, 0.0, 0.0075194210526315745, 38, 0.0, 38.0
19, 0.0, 0.01282053846153846, 26, 0.0, 26.0
20, 0.0, 8.333333333333334E-7, 6, 0.0, 6.0
21, 0.0, 5.833333333333333E-7, 24, 0.0, 24.0
22, 0.0, 1.0909090909090912E-6, 11, 0.0, 11.0
23, 0.0, 3.333333333333333E-7, 3, 0.0, 3.0
24, 0.0, 0.007525071428571435, 14, 0.0, 14.0
25, 0.0, 2.0000000000000004E-7, 10, 0.0, 10.0
26, 0.0, 1.5E-5, 2, 0.0, 2.0
27, 0.0, 3.499999999999999E-6, 4, 0.0, 4.0
28, 0.0, 2.4000000000000004E-5, 10, 0.0, 10.0
29, 0.0, 1.5000000000000009E-6, 16, 0.0, 16.0
30, 0.0, 1.2499999999999999E-6, 4, 0.0, 4.0
31, 0.0, 8.750000000000001E-6, 4, 0.0, 4.0
32, 0.0, 0.03058038461538459, 13, 0.0, 13.0
33, 0.0, 7.000000000000001E-6, 1, 0.0, 1.0
34, 0.0, 2.9999999999999997E-6, 2, 0.0, 2.0
35, 0.0, 4.000000000000001E-6, 3, 0.0, 3.0
36, 0.0, 1.4999999999999998E-6, 4, 0.0, 4.0
37, 0.0, 2.6E-5, 2, 0.0, 2.0
38, 0.0, 2.5999999999999997E-6, 5, 0.0, 5.0
39, 0.0, 2.0E-6, 3, 0.0, 3.0
40, 0.0, 2.0E-6, 3, 0.0, 3.0
41, 0.0, 4.000000000000001E-6, 1, 0.0, 1.0
42, 0.0, 2.0000000000000003E-6, 1, 0.0, 1.0
43, 0.0, 2.0000000000000003E-6, 2, 0.0, 2.0
44, 0.0, 5.000000000000001E-6, 1, 0.0, 1.0
45, 0.0, 1.0000000000000006E-6, 1, 0.0, 1.0
