Size of Dataset, 2000
Epsilon, 0.5
MinPoints, 20
InfoGain, 1.0
Number of Clusters, 21
Distance Metric, Manhattan
Precision, 0.0
Recall, 0.0
Accuracy, 0.803
F-1, 0.0
Parent Entropy, 0.7158873656827773
Weighted Entropy, 0.0
Elapsed Time, 1
List of Clusters, Entropy, Average Core Distance, Size of Cluster, Buzz, NonBuzz
0, 0.0, 2.307692307692306E-6, 39, 0.0, 39.0
1, 0.0, 2.851851851851852E-6, 27, 0.0, 27.0
2, 0.0, 0.002777925, 120, 0.0, 120.0
3, 0.0, 6.72413793103448E-7, 58, 0.0, 58.0
4, 0.0, 1.6249999999999986E-6, 48, 0.0, 48.0
5, 0.0, 2.2727272727272729E-7, 22, 0.0, 22.0
6, 0.0, 0.0, 138, 0.0, 138.0
7, 0.0, 1.3090909090909092E-5, 22, 0.0, 22.0
8, 0.0, 0.011494413793103448, 29, 0.0, 29.0
9, 0.0, 2.3636363636363644E-6, 11, 0.0, 11.0
10, 0.0, 6.470588235294117E-7, 17, 0.0, 17.0
11, 0.0, 1.3500000000000001E-5, 8, 0.0, 8.0
12, 0.0, 3.5E-6, 2, 0.0, 2.0
13, 0.0, 3.6666666666666666E-6, 3, 0.0, 3.0
14, 0.0, 4.7727272727272725E-6, 22, 0.0, 22.0
15, 0.0, 3.0E-6, 6, 0.0, 6.0
16, 0.0, 5.714285714285715E-7, 7, 0.0, 7.0
17, 0.0, 3.142857142857143E-6, 7, 0.0, 7.0
18, 0.0, 3.0E-6, 1, 0.0, 1.0
19, 0.0, 2.0000000000000003E-6, 1, 0.0, 1.0
20, 0.0, 9.999999999999999E-6, 1, 0.0, 1.0
