Size of Dataset, 4000
Epsilon, 0.5
MinPoints, 20
InfoGain, 1.0
Number of Clusters, 29
Distance Metric, Manhattan
Precision, 0.0
Recall, 0.0
Accuracy, 0.803
F-1, 0.0
Parent Entropy, 0.7158873656827773
Weighted Entropy, 0.0
Elapsed Time, 5
List of Clusters, Entropy, Average Core Distance, Size of Cluster, Buzz, NonBuzz
0, 0.0, 0.003826268482490273, 257, 0.0, 257.0
1, 0.0, 0.0, 284, 0.0, 284.0
2, 0.0, 1.9685039370078746E-7, 127, 0.0, 127.0
3, 0.0, 0.004629944444444444, 72, 0.0, 72.0
4, 0.0, 0.002098348484848485, 66, 0.0, 66.0
5, 0.0, 0.004003840000000007, 25, 0.0, 25.0
6, 0.0, 3.2978723404255326E-7, 94, 0.0, 94.0
7, 0.0, 1.2857142857142862E-6, 21, 0.0, 21.0
8, 0.0, 2.0454545454545456E-7, 44, 0.0, 44.0
9, 0.0, 8.304347826086959E-6, 23, 0.0, 23.0
10, 0.0, 3.0000000000000005E-6, 43, 0.0, 43.0
11, 0.0, 2.933333333333334E-6, 15, 0.0, 15.0
12, 0.0, 8.285714285714285E-6, 7, 0.0, 7.0
13, 0.0, 5.238095238095238E-7, 21, 0.0, 21.0
14, 0.0, 0.00752160526315788, 38, 0.0, 38.0
15, 0.0, 0.01282053846153846, 26, 0.0, 26.0
16, 0.0, 1.5E-6, 6, 0.0, 6.0
17, 0.0, 3.916666666666668E-6, 24, 0.0, 24.0
18, 0.0, 2.727272727272728E-6, 11, 0.0, 11.0
19, 0.0, 3.333333333333333E-7, 3, 0.0, 3.0
20, 0.0, 2.9999999999999997E-6, 10, 0.0, 10.0
21, 0.0, 1.7500000000000002E-6, 4, 0.0, 4.0
22, 0.0, 5.000000000000001E-6, 2, 0.0, 2.0
23, 0.0, 2.4999999999999998E-6, 4, 0.0, 4.0
24, 0.0, 3.8E-6, 5, 0.0, 5.0
25, 0.0, 2.333333333333333E-6, 3, 0.0, 3.0
26, 0.0, 7.000000000000001E-6, 1, 0.0, 1.0
27, 0.0, 3.0E-6, 1, 0.0, 1.0
28, 0.0, 2.9999999999999997E-6, 1, 0.0, 1.0
