Manhattan,WSS,BSS,BSS/WSS,InformationGain,WeightedEntropy,
k = 2,1.52E+10,1.09E+21,7.17E+10,0.87307018,0.12692982, 
Manhattan,WSS,BSS,BSS/WSS,InformationGain,WeightedEntropy,
k = 4,1.46E+10,2.24E+20,1.53E+10,0.884333673,0.115666327, 
 ,,,,,,
Manhattan,Entropy, Weighted Entropy,,,,
0,0.069944972,0.063331674,,,,
1,0.672640358,0.063598146,,,,
Manhattan,Entropy, Weighted Entropy,,,,
0,0,0,,,,
1,0.072733943,0.044214964,,,,
2,0.487805705,0.030365905,,,,
3,0.791627329,0.041085458,,,,
