Size of Dataset, 2000
Epsilon, 0.5
MinPoints, 15
InfoGain, 1.0
Number of Clusters, 21
Distance Metric, Manhattan
Precision, 0.0
Recall, 0.0
Accuracy, 0.803
F-1, 0.0
Parent Entropy, 0.7158873656827773
Weighted Entropy, 0.0
Elapsed Time, 1
List of Clusters, Entropy, Average Core Distance, Size of Cluster, Buzz, NonBuzz
0, 0.0, 6.153846153846155E-7, 39, 0.0, 39.0
1, 0.0, 6.666666666666666E-7, 27, 0.0, 27.0
2, 0.0, 0.002777925, 120, 0.0, 120.0
3, 0.0, 1.7241379310344828E-7, 58, 0.0, 58.0
4, 0.0, 8.958333333333328E-7, 48, 0.0, 48.0
5, 0.0, 2.2727272727272729E-7, 22, 0.0, 22.0
6, 0.0, 0.0, 138, 0.0, 138.0
7, 0.0, 7.909090909090904E-6, 22, 0.0, 22.0
8, 0.0, 0.011494413793103448, 29, 0.0, 29.0
9, 0.0, 1.2727272727272728E-6, 11, 0.0, 11.0
10, 0.0, 6.470588235294117E-7, 17, 0.0, 17.0
11, 0.0, 5.250000000000001E-6, 8, 0.0, 8.0
12, 0.0, 2.9999999999999997E-6, 2, 0.0, 2.0
13, 0.0, 2.333333333333333E-6, 3, 0.0, 3.0
14, 0.0, 3.181818181818182E-6, 22, 0.0, 22.0
15, 0.0, 1.5E-6, 6, 0.0, 6.0
16, 0.0, 5.714285714285715E-7, 7, 0.0, 7.0
17, 0.0, 2.0000000000000008E-6, 7, 0.0, 7.0
18, 0.0, 3.0E-6, 1, 0.0, 1.0
19, 0.0, 2.0000000000000003E-6, 1, 0.0, 1.0
20, 0.0, 4.000000000000001E-6, 1, 0.0, 1.0
