Size of Dataset, 4000
Epsilon, 0.5
MinPoints, 15
InfoGain, 1.0
Number of Clusters, 35
Distance Metric, Manhattan
Precision, 0.0
Recall, 0.0
Accuracy, 0.803
F-1, 0.0
Parent Entropy, 0.7158873656827773
Weighted Entropy, 0.0
Elapsed Time, 6
List of Clusters, Entropy, Average Core Distance, Size of Cluster, Buzz, NonBuzz
0, 0.0, 0.0038262529182879392, 257, 0.0, 257.0
1, 0.0, 0.0, 284, 0.0, 284.0
2, 0.0, 1.9685039370078746E-7, 127, 0.0, 127.0
3, 0.0, 0.004629902777777778, 72, 0.0, 72.0
4, 0.0, 0.0020982878787878787, 66, 0.0, 66.0
5, 0.0, 0.004003760000000006, 25, 0.0, 25.0
6, 0.0, 1.595744680851064E-7, 94, 0.0, 94.0
7, 0.0, 0.3333401249999998, 16, 0.0, 16.0
8, 0.0, 4.7619047619047633E-7, 21, 0.0, 21.0
9, 0.0, 2.0454545454545456E-7, 44, 0.0, 44.0
10, 0.0, 4.6956521739130454E-6, 23, 0.0, 23.0
11, 0.0, 2.116279069767442E-6, 43, 0.0, 43.0
12, 0.0, 1.866666666666667E-6, 15, 0.0, 15.0
13, 0.0, 6.714285714285715E-6, 7, 0.0, 7.0
14, 0.0, 0.013896611111111115, 18, 0.0, 18.0
15, 0.0, 4.2857142857142867E-7, 21, 0.0, 21.0
16, 0.0, 0.00752063157894736, 38, 0.0, 38.0
17, 0.0, 0.01282053846153846, 26, 0.0, 26.0
18, 0.0, 8.333333333333334E-7, 6, 0.0, 6.0
19, 0.0, 1.4999999999999998E-6, 24, 0.0, 24.0
20, 0.0, 1.8181818181818187E-6, 11, 0.0, 11.0
21, 0.0, 3.333333333333333E-7, 3, 0.0, 3.0
22, 0.0, 2.9999999999999997E-6, 10, 0.0, 10.0
23, 0.0, 7.500000000000001E-6, 4, 0.0, 4.0
24, 0.0, 3.875000000000001E-6, 16, 0.0, 16.0
25, 0.0, 1.7500000000000002E-6, 4, 0.0, 4.0
26, 0.0, 4.000000000000001E-6, 2, 0.0, 2.0
27, 0.0, 4.000000000000001E-6, 3, 0.0, 3.0
28, 0.0, 1.9999999999999995E-6, 4, 0.0, 4.0
29, 0.0, 3.4000000000000005E-6, 5, 0.0, 5.0
30, 0.0, 2.0E-6, 3, 0.0, 3.0
31, 0.0, 0.3333409999999997, 3, 0.0, 3.0
32, 0.0, 5.0E-6, 1, 0.0, 1.0
33, 0.0, 3.0E-6, 1, 0.0, 1.0
34, 0.0, 1.0000000000000006E-6, 1, 0.0, 1.0
