Size of Dataset, 1000
Epsilon, 0.75
MinPoints, 5
InfoGain, 1.0
Number of Clusters, 22
Distance Metric, Euclidean
Precision, 0.0
Recall, 0.0
Accuracy, 0.803
F-1, 0.0
Parent Entropy, 0.7158873656827773
Weighted Entropy, 0.0
Elapsed Time, 0
List of Clusters, Entropy, Average Core Distance, Size of Cluster, Buzz, NonBuzz
0, 0.0, 2.834576353408995E-7, 22, 0.0, 22.0
1, 0.0, 4.7926579798593675E-6, 9, 0.0, 9.0
2, 0.0, 0.0, 68, 0.0, 68.0
3, 0.0, 4.308870084543359E-7, 21, 0.0, 21.0
4, 0.0, 1.5625000000000003E-8, 64, 0.0, 64.0
5, 0.0, 1.5455902728086803E-6, 7, 0.0, 7.0
6, 0.0, 0.0, 5, 0.0, 5.0
7, 0.0, 1.1111111111111114E-7, 18, 0.0, 18.0
8, 0.0, 0.023571777228997115, 12, 0.0, 12.0
9, 0.0, 2.4582274572230376E-7, 21, 0.0, 21.0
10, 0.0, 2.4999999999999994E-7, 4, 0.0, 4.0
11, 0.0, 1.9830576062780283E-6, 12, 0.0, 12.0
12, 0.0, 2.064194134522418E-6, 6, 0.0, 6.0
13, 0.0, 0.0, 5, 0.0, 5.0
14, 0.0, 3.0118154490024633E-6, 3, 0.0, 3.0
15, 0.0, 1.8680339887498948E-6, 4, 0.0, 4.0
16, 0.0, 0.0, 1, 0.0, 1.0
17, 0.0, 2.8284271247461907E-6, 2, 0.0, 2.0
18, 0.0, 5.830951894845301E-6, 1, 0.0, 1.0
19, 0.0, 3.1622776601683796E-6, 2, 0.0, 2.0
20, 0.0, 1.8251407699364424E-6, 4, 0.0, 4.0
21, 0.0, 3.1622776601683796E-6, 1, 0.0, 1.0
