Size of Dataset, 4000
Epsilon, 0.75
MinPoints, 5
InfoGain, 1.0
Number of Clusters, 98
Distance Metric, Manhattan
Precision, 0.0
Recall, 0.0
Accuracy, 0.803
F-1, 0.0
Parent Entropy, 0.7158873656827773
Weighted Entropy, 0.0
Elapsed Time, 6
List of Clusters, Entropy, Average Core Distance, Size of Cluster, Buzz, NonBuzz
0, 0.0, 0.0014915836575875483, 257, 0.0, 257.0
1, 0.0, 0.0, 284, 0.0, 284.0
2, 0.0, 0.003906273437500001, 128, 0.0, 128.0
3, 0.0, 0.001157472222222222, 72, 0.0, 72.0
4, 0.0, 2.5833333333333333E-6, 12, 0.0, 12.0
5, 0.0, 0.0020979696969696967, 66, 0.0, 66.0
6, 0.0, 0.004001000000000004, 25, 0.0, 25.0
7, 0.0, 0.0, 94, 0.0, 94.0
8, 0.0, 0.02083718749999999, 16, 0.0, 16.0
9, 0.0, 0.0, 21, 0.0, 21.0
10, 0.0, 0.027779555555555557, 9, 0.0, 9.0
11, 0.0, 6.625000000000002E-6, 8, 0.0, 8.0
12, 0.0, 5.666666666666667E-6, 6, 0.0, 6.0
13, 0.0, 2.875000000000001E-6, 8, 0.0, 8.0
14, 0.0, 0.38148300000000007, 9, 0.0, 9.0
15, 0.0, 3.3750000000000007E-6, 8, 0.0, 8.0
16, 0.0, 0.683335, 2, 0.0, 2.0
17, 0.0, 0.0, 44, 0.0, 44.0
18, 0.0, 0.023810291666666664, 24, 0.0, 24.0
19, 0.0, 4.4186046511627926E-7, 43, 0.0, 43.0
20, 0.0, 8.2E-6, 5, 0.0, 5.0
21, 0.0, 1.2124999999999998E-5, 8, 0.0, 8.0
22, 0.0, 0.08148455555555552, 9, 0.0, 9.0
23, 0.0, 2.666666666666667E-7, 15, 0.0, 15.0
24, 0.0, 2.571428571428572E-6, 7, 0.0, 7.0
25, 0.0, 7.272727272727271E-7, 11, 0.0, 11.0
26, 0.0, 4.333333333333334E-6, 6, 0.0, 6.0
27, 0.0, 0.013891277777777775, 18, 0.0, 18.0
28, 0.0, 9.523809523809521E-8, 21, 0.0, 21.0
29, 0.0, 2.616666666666667E-5, 6, 0.0, 6.0
30, 0.0, 0.007519157894736834, 38, 0.0, 38.0
31, 0.0, 0.05715483333333332, 6, 0.0, 6.0
32, 0.0, 0.0032051153846153844, 26, 0.0, 26.0
33, 0.0, 0.0, 6, 0.0, 6.0
34, 0.0, 4.9999999999999996E-6, 6, 0.0, 6.0
35, 0.0, 0.5333330000000001, 2, 0.0, 2.0
36, 0.0, 0.02598671428571427, 7, 0.0, 7.0
37, 0.0, 0.006257125000000006, 8, 0.0, 8.0
38, 0.0, 4.000000000000001E-6, 7, 0.0, 7.0
39, 0.0, 8.333333333333338E-8, 24, 0.0, 24.0
40, 0.0, 7.272727272727274E-7, 11, 0.0, 11.0
41, 0.0, 2.0E-6, 2, 0.0, 2.0
42, 0.0, 0.0, 3, 0.0, 3.0
43, 0.0, 3.56E-5, 5, 0.0, 5.0
44, 0.0, 4.1249999999999995E-6, 8, 0.0, 8.0
45, 0.0, 2.0000000000000008E-6, 1, 0.0, 1.0
46, 0.0, 9.999999999999997E-7, 6, 0.0, 6.0
47, 0.0, 1.0000000000000002E-6, 8, 0.0, 8.0
48, 0.0, 0.00752114285714286, 14, 0.0, 14.0
49, 0.0, 0.0, 10, 0.0, 10.0
50, 0.0, 1.05E-5, 2, 0.0, 2.0
51, 0.0, 5.0E-7, 4, 0.0, 4.0
52, 0.0, 8.000000000000001E-6, 7, 0.0, 7.0
53, 0.0, 5.399999999999998E-6, 10, 0.0, 10.0
54, 0.0, 7.199999999999999E-6, 5, 0.0, 5.0
55, 0.0, 6.142857142857143E-6, 7, 0.0, 7.0
56, 0.0, 1.2500000000000002E-7, 16, 0.0, 16.0
57, 0.0, 0.04082342857142856, 7, 0.0, 7.0
58, 0.0, 2.4999999999999994E-7, 4, 0.0, 4.0
59, 0.0, 0.012515250000000007, 8, 0.0, 8.0
60, 0.0, 6.000000000000001E-6, 4, 0.0, 4.0
61, 0.0, 7.999999999999998E-6, 1, 0.0, 1.0
62, 0.0, 0.030575538461538453, 13, 0.0, 13.0
63, 0.0, 7.000000000000001E-6, 2, 0.0, 2.0
64, 0.0, 1.4999999999999996E-6, 2, 0.0, 2.0
65, 0.0, 7.000000000000001E-6, 1, 0.0, 1.0
66, 0.0, 0.0, 2, 0.0, 2.0
67, 0.0, 0.0, 3, 0.0, 3.0
68, 0.0, 0.0, 4, 0.0, 4.0
69, 0.0, 3.42E-5, 5, 0.0, 5.0
70, 0.0, 1.0000000000000006E-6, 2, 0.0, 2.0
71, 0.0, 2.0000000000000012E-7, 5, 0.0, 5.0
72, 0.0, 5.5000000000000016E-6, 2, 0.0, 2.0
73, 0.0, 9.0E-6, 1, 0.0, 1.0
74, 0.0, 3.5E-5, 1, 0.0, 1.0
75, 0.0, 3.3333333333333325E-7, 3, 0.0, 3.0
76, 0.0, 8.0E-6, 1, 0.0, 1.0
77, 0.0, 0.16666650000000005, 4, 0.0, 4.0
78, 0.0, 1.6250000000000001E-6, 8, 0.0, 8.0
79, 0.0, 2.5E-5, 1, 0.0, 1.0
80, 0.0, 8.999999999999999E-6, 1, 0.0, 1.0
81, 0.0, 3.5999999999999994E-5, 1, 0.0, 1.0
82, 0.0, 4.000000000000001E-6, 1, 0.0, 1.0
83, 0.0, 1.0000000000000006E-6, 1, 0.0, 1.0
84, 0.0, 4.000000000000001E-6, 2, 0.0, 2.0
85, 0.0, 6.000000000000001E-6, 1, 0.0, 1.0
86, 0.0, 0.0, 1, 0.0, 1.0
87, 0.0, 9.999999999999997E-7, 1, 0.0, 1.0
88, 0.0, 0.0, 2, 0.0, 2.0
89, 0.0, 2.9499999999999995E-5, 2, 0.0, 2.0
90, 0.0, 4.9999999999999996E-6, 1, 0.0, 1.0
91, 0.0, 1.666666666666667E-6, 3, 0.0, 3.0
92, 0.0, 4.9999999999999996E-6, 2, 0.0, 2.0
93, 0.0, 6.0E-6, 1, 0.0, 1.0
94, 0.0, 0.33333499999999994, 1, 0.0, 1.0
95, 0.0, 9.999999999999997E-7, 2, 0.0, 2.0
