Size of Dataset, 1000
Epsilon, 0.25
MinPoints, 5
InfoGain, 1.0
Number of Clusters, 21
Distance Metric, Manhattan
Precision, 0.0
Recall, 0.0
Accuracy, 0.803
F-1, 0.0
Parent Entropy, 0.7158873656827773
Weighted Entropy, 0.0
Elapsed Time, 0
List of Clusters, Entropy, Average Core Distance, Size of Cluster, Buzz, NonBuzz
0, 0.0, 3.1818181818181815E-7, 22, 0.0, 22.0
1, 0.0, 6.333333333333334E-6, 9, 0.0, 9.0
2, 0.0, 0.0, 68, 0.0, 68.0
3, 0.0, 5.714285714285715E-7, 21, 0.0, 21.0
4, 0.0, 1.5625000000000003E-8, 64, 0.0, 64.0
5, 0.0, 2.0000000000000008E-6, 7, 0.0, 7.0
6, 0.0, 0.0, 5, 0.0, 5.0
7, 0.0, 1.1111111111111114E-7, 18, 0.0, 18.0
8, 0.0, 2.3636363636363636E-6, 11, 0.0, 11.0
9, 0.0, 2.8571428571428575E-7, 21, 0.0, 21.0
10, 0.0, 2.4999999999999994E-7, 4, 0.0, 4.0
11, 0.0, 3.083333333333333E-6, 12, 0.0, 12.0
12, 0.0, 2.333333333333334E-6, 6, 0.0, 6.0
13, 0.0, 2.6666666666666664E-6, 3, 0.0, 3.0
14, 0.0, 0.0, 5, 0.0, 5.0
15, 0.0, 4.0E-6, 3, 0.0, 3.0
16, 0.0, 0.0, 1, 0.0, 1.0
17, 0.0, 4.000000000000001E-6, 2, 0.0, 2.0
18, 0.0, 4.000000000000001E-6, 2, 0.0, 2.0
19, 0.0, 2.5E-6, 4, 0.0, 4.0
20, 0.0, 4.000000000000001E-6, 1, 0.0, 1.0
