Manhattan,WSS,BSS,BSS/WSS,InformationGain,WeightedEntropy
k = 6, 9.235992579700455E10, 1.9422321085116336E23, 2.1028948342600605E12, 0.7294074864316576, 0.27059251356834235, 
 
Manhattan,Entropy, Weighted Entropy
0, 0.038212673102836395, 0.005732430539025567
1, 0.9155515200226472, 0.2567385867478774
2, 0.0055762650993999, 0.00259321076264317
3, 0.021725496755914692, 0.0010283199015997204
4, 0.05714385792985574, 2.46920662236792E-4
5, 0.08044538197035969, 0.0042530449549596375
