Size of Dataset, 50000
Epsilon, 0.75
MinPoints, 5
InfoGain, 0.9993158831279192
Number of Clusters, 1217
Distance Metric, Euclidean
Number of Buzz, 1244.0
Percent Buzz, 0.02488
Number of NonBuzz, 48756.0
Percent NonBuzz, 0.97512
Parent Entropy, 0.16802625641453006
Weighted Entropy, 6.841168720808531E-4
Elapsed Time, 1221
List of Clusters, Entropy, Average Core Distance, Size of Cluster
0, 0.0, 0.0, 3651
1, 0.0, 0.003014679431545946, 120
2, 0.0, 0.005791839875200029, 15
3, 0.0, 0.00116861919006102, 1058
4, 0.0, 0.027770151252195313, 50
5, 0.0, 0.002874249289028022, 519
6, 0.013308640018399619, 0.0023183915259821263, 838
7, 0.0, 0.003363283851825166, 186
8, 0.0, 0.01264232542937217, 8
9, 0.0, 0.003102753798159927, 12
10, 0.0, 3.232370909265454E-4, 1375
11, 0.0, 1.4512209289789197E-6, 34
12, 0.004065744803375745, 4.657253103927197E-5, 3221
13, 0.0, 0.0, 5
14, 0.0, 0.23570273180392554, 6
15, 0.0, 1.469739868441331E-5, 9
16, 0.0, 0.21989320044831487, 9
17, 0.0, 0.0524023980300403, 19
18, 0.0, 0.006093123926260525, 53
19, 0.0, 0.028866470370893155, 7
20, 0.0, 0.040184204442124304, 28
21, 0.0, 1.8960874390300994E-5, 9
22, 0.0, 0.002540444361655189, 158
23, 0.0, 0.0010650152031551907, 166
24, 0.0, 3.5104081941483426E-5, 7
25, 0.0, 1.0989010993406603E-4, 910
26, 0.0, 0.0018269862892771052, 572
27, 0.0, 0.005709432658291833, 76
28, 0.0, 7.886435331608833E-4, 317
29, 0.0, 0.004375693916155455, 222
30, 0.0, 0.003173345134239789, 191
31, 0.0, 0.001519750525831765, 358
32, 0.0, 0.026316000037999696, 6
33, 0.0, 9.589834383540359E-4, 247
34, 0.0, 0.007365900396258299, 48
35, 0.0, 0.01835788963973121, 28
36, 0.0, 0.004819688351058623, 51
37, 0.0, 8.095037673258594E-8, 72
38, 0.0, 0.08716301882615818, 28
39, 0.0, 0.0031778288720169467, 210
40, 0.0, 1.0496580705969977E-7, 23
41, 0.0, 0.0052384320041289146, 45
42, 0.0, 0.04750926937900029, 6
43, 0.0, 0.020491968542828167, 16
44, 0.0, 0.02134679419791623, 106
45, 0.0, 0.016438048279866717, 20
46, 0.0, 0.0030776130638676077, 379
47, 0.0, 0.003846499606287151, 171
48, 0.0, 0.0017865988776017217, 36
49, 0.0, 0.0072591668262810645, 8
50, 0.0, 0.0026643971332772918, 35
51, 0.0, 0.003160453653258615, 157
52, 0.0, 1.5723270446540896E-4, 318
53, 0.0, 0.29555037044985, 5
54, 0.0, 2.860487290785189E-6, 13
55, 0.0, 1.4285714285714287E-7, 42
56, 0.0, 0.0029008089209770914, 67
57, 0.0, 0.0580075928658716, 11
58, 0.0, 7.371652673076232E-8, 91
59, 0.0, 5.956066137040676E-5, 6
60, 0.0, 0.009826060896869049, 9
61, 0.0, 2.703655411878447E-6, 7
62, 0.0, 0.002840131170802635, 83
63, 0.0, 8.348632335598939E-6, 7
64, 0.0, 7.996796146983556E-7, 17
65, 0.0, 2.473011636398351E-6, 5
66, 0.0, 8.205738674593894E-7, 9
67, 0.0, 0.00812097869843743, 47
68, 0.0, 2.9034230127376235E-7, 49
69, 0.0, 0.1372748200911818, 6
70, 0.0, 0.003626777107293839, 39
