Size of Dataset, 8000
Epsilon, 1.0
MinPoints, 5
InfoGain, 0.9987380575446448
Number of Clusters, 131
Distance Metric, Euclidean
Precision, 1.0
Recall, 1.0
Accuracy, 1.0
F-1, 1.0
Parent Entropy, 0.7158873656827773
Weighted Entropy, 0.001261942455355195
Elapsed Time, 36
List of Clusters, Entropy, Average Core Distance, Size of Cluster
0, 0.025050966855686252, 0.04383797724175462, 403
1, 0.0, 0.04276693020657644, 277
2, 0.0, 0.07470193965958392, 172
3, 0.0, 0.12838031334325672, 35
4, 0.0, 0.14538539393100966, 266
5, 0.0, 0.0035987476383886638, 741
6, 0.0, 0.12731889102265256, 29
7, 0.0, 5.931352313380783E-4, 281
8, 0.0, 0.0, 552
9, 0.0, 0.3264028798202697, 191
10, 0.0, 0.0016025673077499998, 104
11, 0.0, 0.03493580024621414, 96
12, 0.0, 0.08883611436692794, 151
13, 0.0, 0.10417626358196626, 48
14, 0.0, 0.05885632682827418, 50
15, 0.0, 0.06397893795322644, 10
16, 0.0, 0.0023590076349857695, 106
17, 0.0, 0.10704006280141605, 12
18, 0.0, 7.938939085837476E-7, 54
19, 0.0, 0.007381273894505866, 8
20, 0.0, 1.549340405829052E-5, 9
21, 0.0, 3.697056274847714E-7, 25
22, 0.0, 6.884158614166177E-7, 30
23, 0.0, 0.08910612426762596, 25
24, 0.0, 1.0, 1
25, 0.0, 0.021503053347274412, 64
26, 0.0, 0.017547124257538183, 57
27, 0.0, 5.88235294117647E-8, 34
28, 0.0, 0.05263205263157892, 19
29, 0.0, 9.09090909090909E-8, 11
30, 0.0, 0.07750194313399299, 40
31, 0.0, 0.3005126291447692, 24
32, 0.0, 0.04683291306799365, 26
33, 0.0, 0.238527060293474, 54
34, 0.0, 0.0, 6
35, 0.0, 0.21052967815838577, 19
36, 0.0, 0.054547460670182346, 55
37, 0.0, 0.12208196373476336, 21
38, 0.0, 0.0, 3
39, 0.0, 1.0, 3
40, 0.0, 0.03571468977530353, 7
41, 0.0, 4.928650381067042E-6, 2
42, 0.0, 1.5511892982275442E-6, 12
43, 0.0, 1.0, 8
44, 0.0, 3.5342894243457815E-5, 3
45, 0.0, 3.605551275463989E-6, 2
46, 0.0, 0.0038236128122403827, 37
47, 0.0, 0.6000004828427125, 10
48, 0.0, 0.16083937659206227, 10
49, 0.0, 0.12619077676597446, 5
50, 0.0, 3.1943828249996985E-7, 7
51, 0.0, 0.0, 1
52, 0.0, 0.07143832620479244, 14
53, 0.0, 3.1622776601683796E-6, 1
54, 0.0, 5.690355937288491E-7, 6
55, 0.0, 8.333333333333331E-8, 12
56, 0.0, 0.18481470880527223, 21
57, 0.0, 0.06932451944547403, 17
58, 0.0, 2.5134946068356892E-5, 5
59, 0.0, 1.0000000000000002E-6, 2
60, 0.0, 5.189521774550175E-6, 8
61, 0.0, 3.894412835309186E-6, 3
62, 0.0, 1.0E-6, 1
63, 0.0, 4.305000025213843E-5, 5
64, 0.0, 4.3863424398922625E-5, 1
65, 0.0, 1.0E-6, 3
66, 0.0, 0.30545939233276637, 10
67, 0.0, 9.975517525385317E-6, 8
68, 0.0, 2.4999999999999994E-7, 8
69, 0.0, 4.152683915228035E-6, 7
70, 0.0, 7.615773105863908E-6, 1
71, 0.0, 9.999999999999997E-7, 1
72, 0.0, 1.746886083404854E-5, 2
73, 0.0, 0.37974596859390153, 9
74, 0.0, 1.0, 1
75, 0.0, 0.018943668681173104, 11
76, 0.0, 2.50798724079689E-5, 1
77, 0.0, 1.4264603880031098E-6, 21
78, 0.0, 0.16537268259889473, 4
79, 0.0, 4.070367516975992E-6, 3
80, 0.0, 0.4714040493870414, 2
81, 0.0, 5.885164807134504E-6, 2
82, 0.0, 0.21381174212257634, 6
83, 0.0, 1.0, 4
84, 0.0, 1.0, 2
85, 0.0, 2.752083548667612E-5, 2
86, 0.0, 0.0, 1
87, 0.0, 3.3333333333333325E-7, 3
88, 0.0, 3.3433288894123343E-6, 3
89, 0.0, 0.0, 1
90, 0.0, 1.0, 1
91, 0.0, 9.999999999999997E-7, 1
92, 0.0, 3.1622776601683796E-6, 1
93, 0.0, 1.0000000000000006E-6, 1
94, 0.0, 0.0500824426923386, 4
95, 0.0, 1.5813401291398524E-5, 3
96, 0.0, 1.9999999999999994E-7, 5
97, 0.0, 7.491813357800575E-6, 3
98, 0.0, 0.35136383310181496, 1
99, 0.0, 1.0, 1
100, 0.0, 3.534119409414459E-5, 1
101, 0.0, 0.12856474074177557, 1
102, 0.0, 7.615773105863907E-6, 1
103, 0.0, 1.0, 1
