Size of Dataset, 4000
Epsilon, 0.5
MinPoints, 15
InfoGain, 1.0
Number of Clusters, 36
Distance Metric, Euclidean
Precision, 0.0
Recall, 0.0
Accuracy, 0.803
F-1, 0.0
Parent Entropy, 0.7158873656827773
Weighted Entropy, 0.0
Elapsed Time, 7
List of Clusters, Entropy, Average Core Distance, Size of Cluster, Buzz, NonBuzz
0, 0.0, 0.0038262529182879392, 257, 0.0, 257.0
1, 0.0, 0.0, 284, 0.0, 284.0
2, 0.0, 1.6957977210429578E-7, 127, 0.0, 127.0
3, 0.0, 0.004629902777777778, 72, 0.0, 72.0
4, 0.0, 0.0016236728888710868, 66, 0.0, 66.0
5, 0.0, 0.0028312066483299645, 25, 0.0, 25.0
6, 0.0, 1.3283864872877805E-7, 94, 0.0, 94.0
7, 0.0, 0.23570273186288052, 16, 0.0, 16.0
8, 0.0, 3.9640739620651237E-7, 21, 0.0, 21.0
9, 0.0, 1.7791879828968612E-7, 44, 0.0, 44.0
10, 0.0, 0.016839277075941697, 24, 0.0, 24.0
11, 0.0, 1.7442285122718673E-6, 43, 0.0, 43.0
12, 0.0, 1.6473146751647512E-6, 15, 0.0, 15.0
13, 0.0, 4.938140302753392E-6, 7, 0.0, 7.0
14, 0.0, 0.009826380156900445, 18, 0.0, 18.0
15, 0.0, 3.523021732222938E-7, 21, 0.0, 21.0
16, 0.0, 0.005317945039053893, 38, 0.0, 38.0
17, 0.0, 0.01282053846153846, 26, 0.0, 26.0
18, 0.0, 6.937129433613966E-7, 6, 0.0, 6.0
19, 0.0, 1.3603796100280633E-6, 24, 0.0, 24.0
20, 0.0, 1.1030056647916496E-6, 12, 0.0, 12.0
21, 0.0, 3.333333333333333E-7, 3, 0.0, 3.0
22, 0.0, 2.2360679774997895E-6, 10, 0.0, 10.0
23, 0.0, 5.4912479098838705E-6, 4, 0.0, 4.0
24, 0.0, 3.046501449834806E-6, 16, 0.0, 16.0
25, 0.0, 1.4125703849682213E-6, 4, 0.0, 4.0
26, 0.0, 3.1622776601683796E-6, 2, 0.0, 2.0
27, 0.0, 3.1622776601683796E-6, 3, 0.0, 3.0
28, 0.0, 1.6441228056353686E-6, 4, 0.0, 4.0
29, 0.0, 2.729822128134704E-6, 5, 0.0, 5.0
30, 0.0, 1.7207592200561265E-6, 3, 0.0, 3.0
31, 0.0, 0.29462806124809704, 4, 0.0, 4.0
32, 0.0, 4.1231056256176614E-6, 1, 0.0, 1.0
33, 0.0, 5.830951894845301E-6, 1, 0.0, 1.0
34, 0.0, 2.23606797749979E-6, 1, 0.0, 1.0
35, 0.0, 1.0000000000000006E-6, 1, 0.0, 1.0
