Size of Dataset, 8000
Epsilon, 0.5
MinPoints, 20
InfoGain, 0.9989278602105082
Number of Clusters, 57
Distance Metric, Euclidean
Precision, 0.0
Recall, 0.0
Accuracy, 0.797
F-1, 0.0
Parent Entropy, 0.7158873656827773
Weighted Entropy, 0.0010721397894918236
Elapsed Time, 30
List of Clusters, Entropy, Average Core Distance, Size of Cluster, Buzz, NonBuzz
0, 0.060830626354146024, 0.0011823937642775361, 141, 1.0, 140.0
1, 0.0, 0.003042311449837612, 93, 0.0, 93.0
2, 0.0, 1.6604641567630695E-7, 52, 0.0, 52.0
3, 0.0, 1.169118819462584E-7, 176, 0.0, 176.0
4, 0.0, 7.739869263226146E-6, 21, 0.0, 21.0
5, 0.0, 0.0024225329457364343, 516, 0.0, 516.0
6, 0.0, 2.5557742524346926E-6, 30, 0.0, 30.0
7, 0.0, 0.0011112776831585058, 225, 0.0, 225.0
8, 0.0, 0.0, 552, 0.0, 552.0
9, 0.0, 0.005241169811320754, 159, 0.0, 159.0
10, 0.0, 0.003634135913541171, 30, 0.0, 30.0
11, 0.0, 8.470924780256475E-8, 57, 0.0, 57.0
12, 0.0, 0.00892867857142857, 56, 0.0, 56.0
13, 0.0, 3.555301505228069E-7, 71, 0.0, 71.0
14, 0.0, 1.5012863638329623E-5, 23, 0.0, 23.0
15, 0.0, 1.119495152026171E-6, 75, 0.0, 75.0
16, 0.0, 9.393924119131251E-7, 37, 0.0, 37.0
17, 0.0, 0.004316042937025281, 29, 0.0, 29.0
18, 0.0, 0.012089127625073014, 39, 0.0, 39.0
19, 0.0, 0.011472475409783392, 32, 0.0, 32.0
20, 0.0, 9.91918389424591E-7, 27, 0.0, 27.0
21, 0.0, 0.003684379722118448, 48, 0.0, 48.0
22, 0.0, 4.761904761904761E-8, 21, 0.0, 21.0
23, 0.0, 1.414213562373095E-6, 13, 0.0, 13.0
24, 0.0, 2.82842712474619E-6, 1, 0.0, 1.0
25, 0.0, 9.547442467302884E-7, 10, 0.0, 10.0
26, 0.0, 6.051525682142558E-7, 7, 0.0, 7.0
27, 0.0, 6.840169943749475E-7, 16, 0.0, 16.0
28, 0.0, 1.844708732201364E-6, 21, 0.0, 21.0
29, 0.0, 1.951367322083228E-6, 6, 0.0, 6.0
30, 0.0, 9.999999999999997E-7, 5, 0.0, 5.0
31, 0.0, 5.263157894736843E-8, 19, 0.0, 19.0
32, 0.0, 3.1622776601683796E-6, 1, 0.0, 1.0
33, 0.0, 8.818269886899071E-6, 7, 0.0, 7.0
34, 0.0, 5.610590256799206E-6, 25, 0.0, 25.0
35, 0.0, 1.6881650340819932E-6, 6, 0.0, 6.0
36, 0.0, 0.01885975277974697, 25, 0.0, 25.0
37, 0.0, 4.0985433803289995E-6, 3, 0.0, 3.0
38, 0.0, 2.89010681276342E-6, 9, 0.0, 9.0
39, 0.0, 3.4099108043262453E-6, 7, 0.0, 7.0
40, 0.0, 3.250932383227502E-6, 5, 0.0, 5.0
41, 0.0, 0.5, 1, 0.0, 1.0
42, 0.0, 8.513937323302631E-6, 4, 0.0, 4.0
43, 0.0, 0.01571845694754543, 9, 0.0, 9.0
44, 0.0, 4.472135954999579E-6, 2, 0.0, 2.0
45, 0.0, 2.7360679774997902E-6, 2, 0.0, 2.0
46, 0.0, 0.0, 3, 0.0, 3.0
47, 0.0, 6.900829493376029E-6, 10, 0.0, 10.0
48, 0.0, 1.3424980034726424E-5, 7, 0.0, 7.0
49, 0.0, 2.288245611270737E-6, 2, 0.0, 2.0
50, 0.0, 4.038843615231785E-6, 2, 0.0, 2.0
51, 0.0, 2.236067977499789E-6, 1, 0.0, 1.0
52, 0.0, 2.2360679774997895E-6, 1, 0.0, 1.0
53, 0.0, 1.3E-5, 1, 0.0, 1.0
54, 0.0, 9.999999999999997E-7, 1, 0.0, 1.0
55, 0.0, 1.4142135623730952E-6, 1, 0.0, 1.0
56, 0.0, 1.2749080475387651E-5, 2, 0.0, 2.0
