Size of Dataset, 2000
Epsilon, 0.5
MinPoints, 20
InfoGain, 1.0
Number of Clusters, 21
Distance Metric, Euclidean
Precision, 0.0
Recall, 0.0
Accuracy, 0.803
F-1, 0.0
Parent Entropy, 0.7158873656827773
Weighted Entropy, 0.0
Elapsed Time, 1
List of Clusters, Entropy, Average Core Distance, Size of Cluster, Buzz, NonBuzz
0, 0.0, 1.6805746560089942E-6, 39, 0.0, 39.0
1, 0.0, 2.1577033558237545E-6, 27, 0.0, 27.0
2, 0.0, 0.002777896138592144, 120, 0.0, 120.0
3, 0.0, 6.72413793103448E-7, 58, 0.0, 58.0
4, 0.0, 1.2360083397057607E-6, 48, 0.0, 48.0
5, 0.0, 1.925485444318086E-7, 22, 0.0, 22.0
6, 0.0, 0.0, 138, 0.0, 138.0
7, 0.0, 1.0012839489718473E-5, 22, 0.0, 22.0
8, 0.0, 0.011494373394038783, 29, 0.0, 29.0
9, 0.0, 1.7225565558320655E-6, 11, 0.0, 11.0
10, 0.0, 5.438947794844306E-7, 17, 0.0, 17.0
11, 0.0, 1.0376010050718369E-5, 8, 0.0, 8.0
12, 0.0, 2.7686595939953778E-6, 2, 0.0, 2.0
13, 0.0, 2.8650805268724136E-6, 3, 0.0, 3.0
14, 0.0, 3.5051936724171606E-6, 22, 0.0, 22.0
15, 0.0, 2.2360679774997895E-6, 6, 0.0, 6.0
16, 0.0, 4.6229542535711283E-7, 7, 0.0, 7.0
17, 0.0, 2.368383646452445E-6, 7, 0.0, 7.0
18, 0.0, 2.23606797749979E-6, 1, 0.0, 1.0
19, 0.0, 1.4142135623730952E-6, 1, 0.0, 1.0
20, 0.0, 7.6157731058639085E-6, 1, 0.0, 1.0
