Size of Dataset, 8000
Epsilon, 0.5
MinPoints, 5
InfoGain, 0.9989278602105082
Number of Clusters, 178
Distance Metric, Manhattan
Precision, 0.0
Recall, 0.0
Accuracy, 0.797
F-1, 0.0
Parent Entropy, 0.7158873656827773
Weighted Entropy, 0.0010721397894918236
Elapsed Time, 25
List of Clusters, Entropy, Average Core Distance, Size of Cluster, Buzz, NonBuzz
97, 0.0, 0.012860500000000004, 6, 0.0, 6.0
98, 0.0, 5.4E-6, 5, 0.0, 5.0
99, 0.0, 2.2222222222222227E-7, 9, 0.0, 9.0
100, 0.0, 0.0, 8, 0.0, 8.0
101, 0.0, 2.714285714285714E-6, 14, 0.0, 14.0
102, 0.0, 4.666666666666667E-6, 6, 0.0, 6.0
103, 0.0, 1.9999999999999994E-7, 5, 0.0, 5.0
104, 0.0, 0.166669, 1, 0.0, 1.0
105, 0.0, 2.371428571428571E-5, 7, 0.0, 7.0
106, 0.0, 6.5000000000000004E-6, 8, 0.0, 8.0
107, 0.0, 1.2166666666666667E-5, 6, 0.0, 6.0
108, 0.0, 6.0E-6, 1, 0.0, 1.0
109, 0.0, 0.0222227777777778, 9, 0.0, 9.0
110, 0.0, 1.4000000000000001E-6, 5, 0.0, 5.0
111, 0.0, 0.02174066666666667, 6, 0.0, 6.0
112, 0.0, 4.666666666666666E-6, 6, 0.0, 6.0
113, 0.0, 1.35E-5, 2, 0.0, 2.0
114, 0.0, 5.8E-6, 5, 0.0, 5.0
115, 0.0, 0.11111266666666664, 3, 0.0, 3.0
116, 0.0, 1.75E-6, 4, 0.0, 4.0
117, 0.0, 1.8571428571428577E-6, 7, 0.0, 7.0
118, 0.0, 3.5333333333333336E-5, 6, 0.0, 6.0
119, 0.0, 1.4999999999999999E-5, 8, 0.0, 8.0
120, 0.0, 7.5E-6, 2, 0.0, 2.0
121, 0.0, 1.18E-5, 5, 0.0, 5.0
122, 0.0, 0.031747222222222225, 9, 0.0, 9.0
123, 0.0, 8.000000000000001E-6, 1, 0.0, 1.0
124, 0.0, 0.10002420000000009, 5, 0.0, 5.0
125, 0.0, 4.999999999999994E-7, 2, 0.0, 2.0
126, 0.0, 0.0, 3, 0.0, 3.0
127, 0.0, 6.999999999999998E-7, 10, 0.0, 10.0
128, 0.0, 4.0E-6, 3, 0.0, 3.0
129, 0.0, 6.285714285714286E-6, 7, 0.0, 7.0
130, 0.0, 9.999999999999999E-6, 1, 0.0, 1.0
131, 0.0, 4.9999999999999996E-6, 2, 0.0, 2.0
132, 0.0, 4.999999999999999E-7, 2, 0.0, 2.0
133, 0.0, 1.5000000000000002E-5, 2, 0.0, 2.0
134, 0.0, 1.2666666666666667E-5, 3, 0.0, 3.0
135, 0.0, 1.0000000000000006E-6, 1, 0.0, 1.0
136, 0.0, 0.3333389999999998, 1, 0.0, 1.0
137, 0.0, 2.0000000000000003E-6, 1, 0.0, 1.0
138, 0.0, 6.0E-6, 1, 0.0, 1.0
139, 0.0, 0.12918500000000002, 1, 0.0, 1.0
140, 0.0, 1.5E-6, 2, 0.0, 2.0
141, 0.0, 4.7000000000000004E-5, 1, 0.0, 1.0
142, 0.0, 5.000000000000001E-6, 1, 0.0, 1.0
143, 0.0, 0.0, 2, 0.0, 2.0
144, 0.0, 0.125001, 2, 0.0, 2.0
145, 0.0, 8.000000000000001E-6, 1, 0.0, 1.0
146, 0.0, 0.250001, 2, 0.0, 2.0
147, 0.0, 8.5E-6, 2, 0.0, 2.0
148, 0.0, 0.018548833333333313, 6, 0.0, 6.0
149, 0.0, 3.0E-6, 1, 0.0, 1.0
150, 0.0, 0.2353120000000001, 1, 0.0, 1.0
151, 0.0, 0.0, 1, 0.0, 1.0
152, 0.0, 1.0E-6, 1, 0.0, 1.0
153, 0.0, 3.2500000000000002E-6, 4, 0.0, 4.0
154, 0.0, 4.499999999999999E-6, 2, 0.0, 2.0
155, 0.0, 9.5E-6, 2, 0.0, 2.0
156, 0.0, 1.2E-5, 1, 0.0, 1.0
157, 0.0, 3.7E-5, 1, 0.0, 1.0
158, 0.0, 0.0, 1, 0.0, 1.0
159, 0.0, 9.333333333333333E-6, 3, 0.0, 3.0
