Size of Dataset, 2000
Epsilon, 1.0
MinPoints, 5
InfoGain, 1.0
Number of Clusters, 38
Distance Metric, Euclidean
Precision, 0.0
Recall, 0.0
Accuracy, 0.803
F-1, 0.0
Parent Entropy, 0.7158873656827773
Weighted Entropy, 0.0
Elapsed Time, 1
List of Clusters, Entropy, Average Core Distance, Size of Cluster, Buzz, NonBuzz
0, 0.0, 0.010309396755478085, 97, 0.0, 97.0
1, 0.0, 0.01912020837247848, 56, 0.0, 56.0
2, 0.0, 0.00374535858666924, 178, 0.0, 178.0
3, 0.0, 0.033336752262203846, 30, 0.0, 30.0
4, 0.0, 0.01041671875, 64, 0.0, 64.0
5, 0.0, 0.07500365266631401, 40, 0.0, 40.0
6, 0.0, 1.0, 1, 0.0, 1.0
7, 0.0, 0.025000445710678103, 40, 0.0, 40.0
8, 0.0, 0.0, 138, 0.0, 138.0
9, 0.0, 8.333333333333335E-8, 24, 0.0, 24.0
10, 0.0, 0.06666679999999998, 15, 0.0, 15.0
11, 0.0, 0.1666860459224717, 6, 0.0, 6.0
12, 0.0, 0.05882443806885459, 17, 0.0, 17.0
13, 0.0, 0.15000418635783933, 20, 0.0, 20.0
14, 0.0, 9.149613011322442E-6, 6, 0.0, 6.0
15, 0.0, 1.0, 3, 0.0, 3.0
16, 0.0, 4.093642156145815E-6, 5, 0.0, 5.0
17, 0.0, 5.193192426321289E-7, 17, 0.0, 17.0
18, 0.0, 1.2060113295832987E-6, 6, 0.0, 6.0
19, 0.0, 0.0, 3, 0.0, 3.0
20, 0.0, 0.0, 5, 0.0, 5.0
21, 0.0, 4.472135954999579E-6, 5, 0.0, 5.0
22, 0.0, 0.0, 3, 0.0, 3.0
23, 0.0, 1.6910589071449367E-5, 5, 0.0, 5.0
24, 0.0, 1.7449440507191903E-5, 5, 0.0, 5.0
25, 0.0, 1.0, 1, 0.0, 1.0
26, 0.0, 1.7E-5, 1, 0.0, 1.0
27, 0.0, 3.605551275463989E-6, 1, 0.0, 1.0
28, 0.0, 3.437918402654452E-6, 3, 0.0, 3.0
29, 0.0, 2.0000000000000003E-6, 1, 0.0, 1.0
30, 0.0, 1.0, 1, 0.0, 1.0
31, 0.0, 1.565247584249853E-5, 1, 0.0, 1.0
32, 0.0, 8.54400374531753E-6, 1, 0.0, 1.0
33, 0.0, 0.0, 1, 0.0, 1.0
34, 0.0, 1.0, 1, 0.0, 1.0
35, 0.0, 1.0, 1, 0.0, 1.0
36, 0.0, 5.6478150704935E-6, 2, 0.0, 2.0
37, 0.0, 2.2360679774997895E-6, 1, 0.0, 1.0
